vi vj e
0 54 1
0 55 0
0 56 1
0 57 0
0 58 1
0 59 1
0 60 0
0 61 0
0 62 0
0 63 0
1 54 1
1 55 0
1 56 1
1 57 1
1 58 0
1 59 1
1 60 0
1 61 1
1 62 1
1 63 0
2 54 1
2 55 1
2 56 1
2 57 0
2 58 1
2 59 0
2 60 1
2 61 1
2 62 0
2 63 1
3 54 1
3 55 1
3 56 0
3 57 1
3 58 0
3 59 0
3 60 0
3 61 0
3 62 0
3 63 1
4 54 0
4 55 1
4 56 0
4 57 0
4 58 1
4 59 0
4 60 1
4 61 0
4 62 1
4 63 0
5 54 1
5 55 1
5 56 0
5 57 1
5 58 0
5 59 1
5 60 0
5 61 1
5 62 1
5 63 0
6 54 1
6 55 0
6 56 0
6 57 1
6 58 1
6 59 0
6 60 1
6 61 1
6 62 0
6 63 1
7 54 0
7 55 0
7 56 1
7 57 1
7 58 1
7 59 0
7 60 0
7 61 1
7 62 0
7 63 1
8 54 1
8 55 0
8 56 0
8 57 0
8 58 1
8 59 0
8 60 0
8 61 1
8 62 1
8 63 1
9 54 1
9 55 0
9 56 1
9 57 1
9 58 1
9 59 0
9 60 1
9 61 1
9 62 0
9 63 1
10 54 0
10 55 0
10 56 0
10 57 1
10 58 1
10 59 0
10 60 0
10 61 1
10 62 0
10 63 1
11 54 1
11 55 0
11 56 0
11 57 0
11 58 1
11 59 1
11 60 0
11 61 0
11 62 0
11 63 1
12 54 0
12 55 0
12 56 0
12 57 0
12 58 1
12 59 0
12 60 1
12 61 0
12 62 1
12 63 0
13 54 1
13 55 0
13 56 1
13 57 0
13 58 0
13 59 0
13 60 0
13 61 1
13 62 0
13 63 1
14 54 0
14 55 1
14 56 0
14 57 0
14 58 1
14 59 0
14 60 0
14 61 0
14 62 0
14 63 1
15 54 1
15 55 0
15 56 0
15 57 0
15 58 0
15 59 0
15 60 0
15 61 1
15 62 0
15 63 1
16 54 1
16 55 0
16 56 1
16 57 1
16 58 1
16 59 0
16 60 1
16 61 1
16 62 1
16 63 1
17 54 0
17 55 0
17 56 0
17 57 0
17 58 1
17 59 1
17 60 1
17 61 0
17 62 0
17 63 0
18 54 1
18 55 0
18 56 1
18 57 1
18 58 0
18 59 0
18 60 1
18 61 0
18 62 0
18 63 1
19 54 0
19 55 1
19 56 0
19 57 0
19 58 0
19 59 1
19 60 1
19 61 1
19 62 1
19 63 0
20 54 1
20 55 1
20 56 0
20 57 0
20 58 1
20 59 0
20 60 0
20 61 1
20 62 1
20 63 0
21 54 0
21 55 0
21 56 1
21 57 0
21 58 0
21 59 1
21 60 0
21 61 1
21 62 1
21 63 1
22 54 0
22 55 1
22 56 1
22 57 0
22 58 0
22 59 0
22 60 1
22 61 0
22 62 1
22 63 1
23 54 0
23 55 0
23 56 0
23 57 0
23 58 1
23 59 1
23 60 0
23 61 0
23 62 0
23 63 0
24 54 0
24 55 0
24 56 1
24 57 0
24 58 1
24 59 1
24 60 0
24 61 0
24 62 0
24 63 1
25 54 0
25 55 0
25 56 0
25 57 0
25 58 1
25 59 0
25 60 0
25 61 0
25 62 0
25 63 1
26 54 1
26 55 1
26 56 1
26 57 1
26 58 1
26 59 1
26 60 0
26 61 0
26 62 0
26 63 1
27 54 0
27 55 1
27 56 0
27 57 1
27 58 0
27 59 0
27 60 1
27 61 1
27 62 1
27 63 0
28 54 0
28 55 0
28 56 1
28 57 0
28 58 0
28 59 0
28 60 0
28 61 0
28 62 0
28 63 1
29 54 1
29 55 1
29 56 1
29 57 1
29 58 0
29 59 1
29 60 1
29 61 0
29 62 1
29 63 1
30 54 0
30 55 0
30 56 0
30 57 0
30 58 1
30 59 1
30 60 0
30 61 0
30 62 1
30 63 0
31 54 0
31 55 1
31 56 0
31 57 1
31 58 0
31 59 0
31 60 1
31 61 0
31 62 1
31 63 0
32 54 0
32 55 1
32 56 0
32 57 1
32 58 0
32 59 1
32 60 0
32 61 0
32 62 1
32 63 0
33 54 1
33 55 0
33 56 1
33 57 1
33 58 1
33 59 0
33 60 0
33 61 0
33 62 0
33 63 1
34 54 0
34 55 0
34 56 1
34 57 1
34 58 1
34 59 1
34 60 0
34 61 0
34 62 1
34 63 1
35 54 0
35 55 0
35 56 0
35 57 1
35 58 0
35 59 1
35 60 1
35 61 0
35 62 1
35 63 0
36 54 1
36 55 0
36 56 0
36 57 1
36 58 0
36 59 1
36 60 0
36 61 1
36 62 1
36 63 1
37 54 0
37 55 0
37 56 0
37 57 1
37 58 1
37 59 0
37 60 0
37 61 0
